country,year,Current account balance (% of GDP),Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),GDP (current US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita growth (annual %),GNI per capita (constant 2015 US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)",Poverty headcount ratio at national poverty lines (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Australia,2007 [YR2007],-7.56503658273095,3.32081335302302,21.9081050202671,74.7710816267099,5868.34089844726,20.1835039296691,855007458585.224,67.6672803609342,3.77339268108837,1.89670839165348,49936.0322917495,21.8245161029657,2.32761128891476,65.196,81.2926829268293,26.9885079767917,4.381
Australia,2008 [YR2008],-4.88206185813593,3.22332837005084,22.4003583532119,74.3763132767373,5964.66605635347,20.1488773165122,1056112427190.38,70.7595547944178,3.58622797986055,1.53111186781014,51474.1009556757,22.6978990852209,4.35029854990048,65.492,81.3951219512195,26.9885079767917,4.242
Australia,2009 [YR2009],-5.22626715456062,3.23427638939884,21.1407497754559,75.6249830765951,5862.5646464103,23.0109850559796,928762122698.05,74.261558912216,1.89257360858259,-0.185773152884209,52440.1339417097,22.7298779728897,1.77111716621254,65.446,81.5439024390244,26.9885079767917,5.565
Australia,2010 [YR2010],-3.99440570250958,3.23040635832161,20.9767784256494,75.7928061668408,5793.11602573559,19.7953665378444,1148890200292.42,75.1169472267541,2.22653807797504,0.648500068252503,52128.8569268197,20.715266475056,2.91834002677376,65.406,81.6951219512195,26.9885079767917,5.214
Australia,2011 [YR2011],-3.25110970417211,2.81993969066137,20.8324490973328,76.3476112120058,5745.23218954465,21.4357865324171,1398701323029.63,79.7757743640267,2.40897178005686,0.995812001601593,54667.2718317794,20.4015645849472,3.3038501560874,65.439,81.8951219512195,26.9885079767917,5.083
Australia,2012 [YR2012],-4.42985604996183,2.8017804235659,20.7046912396426,76.4935283367915,5575.28709327857,21.4913928888391,1547649835732.89,81.215857972412,3.91840962538336,2.11992606815087,56451.5100788753,21.6576317984718,1.76278015613196,65.17,82.0463414634146,26.9885079767917,5.225
Australia,2013 [YR2013],-3.23508955751319,2.61818786659868,20.4516291121862,76.9301917296687,5468.39136879598,19.9741128950954,1577301840200.01,81.082841413165,2.60619844706027,0.85530140286312,56054.2708764966,21.2760781686499,2.4498886414254,64.961,82.1487804878049,26.9885079767917,5.663
Australia,2014 [YR2014],-3.05404296827038,2.79831847781267,20.9802309629334,76.2214505592539,5334.68167873774,21.0823313194078,1468597690006.22,82.2219686561495,2.60740103188527,1.08830078150544,56151.2491798357,21.3606968828433,2.48792270531404,64.715,82.3,26.9885079767917,6.078
Australia,2015 [YR2015],-4.22754971067854,2.63650478185147,20.0656369285111,77.2978498133565,5483.81640154023,20.0581264737037,1351768945139.11,81.7097905421342,2.20181015336807,0.741438843604087,55600.02943699,21.5361539403705,1.50836672165921,65.01,82.4,26.9885079767917,6.055
Australia,2016 [YR2016],-3.43837047478323,2.62116297599488,19.6997148224524,77.6791222015527,26.9885079767917,19.2622259086547,1207580901578.72,81.1739606983481,2.77914262537222,1.18626585064179,54904.0106956463,21.5324159581804,1.27699094497324,64.879,82.4487804878049,26.9885079767917,5.711
Australia,2017 [YR2017],-2.72024475783813,2.59605414168375,19.4301033123421,77.9738344023592,26.9885079767917,21.228525081023,1326882104817.0,84.1378109835792,2.31870938698817,0.647495218504773,56615.7933941461,20.7136840406098,1.94864740944527,65.181,82.5,26.9885079767917,5.592
Australia,2018 [YR2018],-2.23039506841994,2.61685196876642,19.8876356739806,77.495512357253,26.9885079767917,21.853558200255,1429733668185.91,85.7186009561115,2.90636311509867,1.37834535331957,57388.4668945734,21.4935202935385,1.91140094445691,65.644,82.7487804878049,13.6,5.3
Australia,2019 [YR2019],0.349632904851842,2.55829811714711,19.0584611305181,78.3832485056462,26.9885079767917,24.1117883614814,1394671325960.57,88.6876556264284,2.1811091061096,0.682490945150491,58386.6812748994,21.6371749941796,1.61076787290379,65.952,82.9,26.9885079767917,5.159
Australia,2020 [YR2020],2.3443671502775,2.76599346095224,19.1910996495248,78.0429068895229,26.9885079767917,23.9673727374511,1330381544909.3,90.5623578544649,-0.33468635945016,-1.55643630102695,58413.6948708734,20.1756728566692,0.846905537459305,65.032,83.2,13.4,6.456
Australia,2021 [YR2021],3.14885824235272,2.49483264299078,18.9120576504873,78.593109706522,26.9885079767917,21.9768193897174,1559033756285.13,93.3505683303578,2.11183088925151,1.96806164574946,61609.0740225051,17.7255408465983,2.86391042204994,65.846,83.3,26.9885079767917,5.116
Australia,2022 [YR2022],1.04791923086201,2.19955444973428,18.636641693824,79.1638038564417,26.9885079767917,25.4271241344048,1692956646855.7,100.0,4.26894639349867,2.95032558403243,63208.2548905576,19.7096203060062,6.59409671341846,66.659,83.2,26.9885079767917,3.701
Australia,2023 [YR2023],1.24048353945036,26.9885079767917,26.9885079767917,26.9885079767917,26.9885079767917,26.7219864846082,1723827215334.71,106.557375685114,3.01698810357014,0.603284935712949,63230.5206887859,21.3606910435151,5.5970149253731,66.934,26.9885079767917,26.9885079767917,3.662
Brazil,2000 [YR2000],-4.0477413019387,15.3721146233434,22.5861982127971,62.0416942357181,1065.77369262446,10.1880480043795,655448231983.527,44.2977495727329,4.38794944745618,2.97091078107165,6553.89048981347,12.4517133524146,7.04414105947266,26.9885079767917,69.737,26.9885079767917,26.9885079767917
Brazil,2001 [YR2001],-4.44478653179819,15.3070626104224,22.4109454948477,62.2819905206758,1070.14058731584,12.37171066993,559983634798.981,47.9412812572841,1.38989640095637,0.0596489436684067,6534.69086016932,14.564574352134,6.84035902487523,67.033,70.195,26.9885079767917,10.649
Brazil,2002 [YR2002],-1.84525901678299,15.4077157694581,22.8444810611097,61.7478031694322,1084.67590148833,14.2305902713775,509795273806.715,52.638621802997,3.05346185909312,1.76024277856577,6642.15582695063,13.3877671308534,8.45016437708331,67.904,70.41,26.9885079767917,10.641
Brazil,2003 [YR2003],0.392877183707378,15.5664754341271,22.2866950203648,62.1468361109513,1089.510543868,15.1807837086861,558233745651.874,60.0559413306886,1.14082899824888,-0.0512856664974208,6651.41980303868,12.9596010144732,14.7149197228147,67.761,70.72,26.9885079767917,11.169
Brazil,2004 [YR2004],1.33863064799445,16.0434539644754,22.3880043515936,61.5685353706126,1137.06927764977,16.5457615119353,669289424806.307,64.7115143945629,5.75996463670954,4.56178195748839,6968.88810854654,13.1324909668183,6.59718509985963,68.293,71.131,26.9885079767917,10.072
Brazil,2005 [YR2005],1.3098846656652,15.5161480878624,22.7565346430233,61.7273172691143,1152.75656985554,15.2438292672646,891633839853.105,69.5203724699877,3.20213206130431,2.05557150146443,7117.86103544918,11.8429659383147,6.86953720898964,68.972,71.753,26.9885079767917,10.551
Brazil,2006 [YR2006],0.97271052279238,14.4959502569643,22.7286545299633,62.7753952130725,1180.04791975066,14.3743163003006,1107626541710.74,74.229873069747,3.96198871122617,2.84796200765309,7347.53220807847,11.6673835850045,4.18356812896909,68.642,72.037,26.9885079767917,9.692
Brazil,2007 [YR2007],-0.197096961071059,13.5486355422301,23.2999327946069,63.1514245309777,1234.19870587426,13.327675103099,1397114486471.38,79.0095628686602,6.06987060678338,4.98082992000504,7742.49040579878,11.9649362705808,3.64127299102652,68.251,72.365,26.9885079767917,9.28
Brazil,2008 [YR2008],-2.09933784779966,12.7053530059563,24.0275869919,63.2670600021438,1290.16781897111,13.5340005124035,1695855083552.05,85.9454590018311,5.09419544658736,4.06172216621563,8029.70200954194,13.723568904076,5.67859390284168,68.031,72.715,26.9885079767917,8.268
Brazil,2009 [YR2009],-1.75935787342253,12.2866657975012,23.4841907660339,64.2291422829096,1236.15398320693,10.851371134098,1666996438681.46,92.2310653168394,-0.125812002161169,-1.07323833266479,7962.69966682649,11.2546044706088,4.88803479876799,68.214,72.948,26.9885079767917,9.419
Brazil,2010 [YR2010],-3.92594604434557,11.46630929021,23.3149171738863,65.2187735359038,1354.07546508009,10.8655847746965,2208837745214.23,100.0,7.52822581815364,6.52281617922927,8403.10806956359,11.9065933373084,5.03872690108075,26.9885079767917,73.182,26.9885079767917,26.9885079767917
